n,b_creation_time,bp_creation_time,b_creation_read,b_creation_write,bp_creation_read,bp_creation_write,b_size,bp_size,b_avg_search_time,bp_avg_search_time,b_avg_search_read,b_avg_search_write,bp_avg_search_read,bp_avg_search_write
16,29123,26563,21132994,8082621,261982,66315,262,261,8,7,1771,189,3,0
17,59377,89227,46115790,16261570,623034,132656,528,530,16,16,1943,385,5,0
18,137966,124479,96563667,32604789,1410546,265348,1060,1070,14,14,2333,767,7,0
19,281748,332198,198090904,65358362,2985530,530672,2129,2130,22,22,3170,1532,10,0
20,617233,744608,402330272,130709072,6135576,1061437,4270,4289,41,40,4741,3001,16,0
21,1315183,1540170,818853900,261775917,12435666,2122964,8580,8606,67,60,8017,6146,28,0
22,2778494,3284208,1682158069,523862714,25035874,4246060,17214,17254,121,109,14427,12249,53,0
23,6049561,7728119,-767501437,1048282724,50236494,8492558,34513,34652,354,330,27085,24495,103,0
24,13997656,16709537,-898400288,2097585016,100638056,16986037,69246,69609,1019,854,52656,49080,204,0
25,31480353,40948177,-826861939,-98851516,228396436,33973059,138944,139545,1075,997,102555,98119,407,0
26,64976088,76701118,-623174577,-195176377,497112338,67948160,278646,279768,2053,1952,202407,196177,818,0
